order_id,supplier,category,order_date,promised_date,actual_date,ordered_qty,delivered_qty,rejected_qty,base_price,actual_price,complaints,payment_status
ORD-1000,Quality First,Packaging,2023-06-11,2023-06-17,2023-06-17,522,522,5,95,104.59693097077283,0,On-Time
ORD-1001,Mega Corp,Fasteners,2023-03-01,2023-03-13,2023-03-15,887,887,8,40,45.82273251275535,0,On-Time
ORD-1002,Stellar Components,Fasteners,2023-04-05,2023-04-17,2023-04-17,457,457,0,36,41.1398472166257,0,On-Time
ORD-1003,Precision Parts,Components,2023-06-06,2023-06-11,2023-06-11,714,714,0,29,30.18785487359404,0,On-Time
ORD-1004,Omega Industries,Packaging,2023-09-15,2023-09-22,2023-10-04,304,212,31,94,105.17902201266757,0,On-Time
ORD-1005,Vanguard Parts,Components,2023-09-01,2023-09-15,2023-09-15,834,834,0,20,22.57766469027053,0,On-Time
ORD-1006,Phoenix Trading,Components,2023-04-02,2023-04-07,2023-04-07,137,137,0,42,45.92632452363894,0,On-Time
ORD-1007,Elite Materials,Tools,2023-10-20,2023-11-01,2023-11-02,907,907,0,33,32.76293873238473,0,On-Time
ORD-1008,Nova Logistics,Raw Materials,2023-01-11,2023-01-24,2023-02-08,413,289,28,19,18.29802996414279,0,On-Time
ORD-1009,Omega Industries,Chemicals,2023-01-21,2023-02-01,2023-02-06,988,691,34,86,96.53676921613595,0,Delayed
ORD-1010,Atlas Logistics,Tools,2023-11-05,2023-11-12,2023-11-12,466,466,0,86,91.69790682288387,0,On-Time
ORD-1011,Omega Industries,Tools,2023-02-26,2023-03-07,2023-03-12,734,734,73,63,72.35267378891666,0,On-Time
ORD-1012,Atlas Logistics,Raw Materials,2023-10-02,2023-10-15,2023-10-15,538,538,0,24,26.82701507941648,0,On-Time
ORD-1013,Omega Industries,Chemicals,2023-11-23,2023-12-03,2023-12-08,345,276,55,85,97.47855145849137,0,On-Time
ORD-1014,Global Parts Inc,Machinery,2023-04-12,2023-04-24,2023-04-24,538,538,0,19,19.55480117200232,0,On-Time
ORD-1015,Beta Corp,Components,2023-07-29,2023-08-06,2023-08-06,313,313,0,33,33.66813271069363,0,On-Time
ORD-1016,Zenith Suppliers,Tools,2023-11-01,2023-11-15,2023-11-15,202,202,0,79,80.3964773834644,0,On-Time
ORD-1017,Atlas Logistics,Components,2023-10-25,2023-11-04,2023-11-04,164,164,0,49,49.340043576775145,0,On-Time
